type size particles iterations skipped time
m 200 2000 10000 840 0.342314
m 200 2000 10000 1022 0.255161
m 200 2000 10000 980 2.598432
m 200 2000 10000 1105 10.188
m 200 2000 10000 894 0.342389
m 200 2000 10000 989 0.272446
m 200 2000 10000 1054 2.620637
m 200 2000 10000 1119 9.163961
m 200 2000 100000 7 0.44965
m 200 2000 100000 31 0.369129
m 200 2000 100000 42 5.16433
m 200 2000 100000 64 19.12819
m 200 2000 100000 3 0.397577
m 200 2000 100000 34 0.345317
m 200 2000 100000 48 4.301987
m 200 2000 100000 69 19.75664
m 200 2000 100000 5 0.466182
m 200 2000 100000 30 0.376329
m 200 2000 100000 46 3.574273
m 200 2000 100000 63 19.9587
m 200 2000 100000 3 0.438317
m 200 2000 100000 23 0.33789
m 200 2000 100000 47 2.400351
m 200 2000 100000 54 18.43599
m 200 4000 1000 3706 0.10284
m 200 4000 1000 3765 0.083422
m 200 4000 1000 3774 0.073465
m 200 4000 1000 3805 2.526459
m 200 4000 1000 3722 0.102124
m 200 4000 1000 3755 0.076764
m 200 4000 1000 3778 0.123314
m 200 4000 1000 3784 2.917646
m 200 4000 1000 3657 0.100742
m 200 4000 1000 3701 0.072683
m 200 4000 1000 3790 0.067068
m 200 4000 1000 3791 2.082684
m 200 4000 1000 3714 0.10208
m 200 4000 1000 3707 0.072986
m 200 4000 1000 3786 0.098507
m 200 4000 1000 3783 2.58656
m 200 4000 10000 921 0.430465
m 200 4000 10000 1164 0.356697
m 200 4000 10000 1154 0.33098
m 200 4000 10000 1307 25.424
m 200 4000 10000 952 0.446586
m 200 4000 10000 1100 0.331521
m 200 4000 10000 1176 0.349412
m 200 4000 10000 1322 26.796
m 200 4000 10000 896 0.427004
m 200 4000 10000 1015 0.32413
m 200 4000 10000 1401 0.511253
m 200 4000 10000 1180 26.73177
m 200 4000 10000 964 0.454554
m 200 4000 10000 924 0.312505
m 200 4000 10000 1020 0.397059
m 200 4000 10000 1240 27.95774
m 200 4000 100000 2 0.478557
m 200 4000 100000 29 0.412005
m 200 4000 100000 63 0.40448
m 200 4000 100000 71 37.00399
m 200 4000 100000 3 0.494012
m 200 4000 100000 33 0.370026
m 200 4000 100000 55 0.403115
m 200 4000 100000 62 37.44011
m 200 4000 100000 5 0.530647
m 200 4000 100000 21 0.391662
m 200 4000 100000 56 0.413537
m 200 4000 100000 62 37.06797
m 200 4000 100000 1 0.486296
m 200 4000 100000 38 0.378886
m 200 4000 100000 52 0.366286
m 200 4000 100000 58 33.91358
m 200 6000 1000 5375 0.150112
m 200 6000 1000 5507 0.130421
m 200 6000 1000 5521 0.10914
m 200 6000 1000 5565 5.104466
m 200 6000 1000 5383 0.150714
m 200 6000 1000 5505 0.107719
m 200 6000 1000 5449 0.104849
m 200 6000 1000 5476 6.061596
m 200 6000 1000 5313 0.150287
m 200 6000 1000 5455 0.105518
m 200 6000 1000 5580 0.114426
m 200 6000 1000 5553 4.75289
