size,particles_mpi,iterations,num_process_mpi,mean_time_serial,mean_time_mpi,speedup,efficiency
200,24000,1000,4,0.0565,0.1013,0.56,0.14
200,30000,1000,5,0.0565,0.0919,0.61,0.122
200,36000,1000,6,0.0565,0.0842,0.67,0.1117
200,4000,1000,2,0.1103,0.0488,2.26,1.13
200,8000,1000,4,0.1103,0.0352,3.13,0.7825
200,10000,1000,5,0.1103,0.0316,3.49,0.698
200,12000,1000,6,0.1103,0.0294,3.75,0.625
200,8000,1000,2,0.1103,0.0969,1.14,0.57
200,16000,1000,4,0.1103,0.0691,1.6,0.4
200,20000,1000,5,0.1103,0.0635,1.74,0.348
200,24000,1000,6,0.1103,0.059,1.87,0.3117
200,12000,1000,2,0.1103,0.1433,0.77,0.385
200,24000,1000,4,0.1103,0.1013,1.09,0.2725
200,30000,1000,5,0.1103,0.0919,1.2,0.24
200,36000,1000,6,0.1103,0.0842,1.31,0.2183
200,4000,1000,2,0.1103,0.0488,2.26,1.13
200,8000,1000,4,0.1103,0.0352,3.13,0.7825
200,10000,1000,5,0.1103,0.0316,3.49,0.698
200,12000,1000,6,0.1103,0.0294,3.75,0.625
200,8000,1000,2,0.1103,0.0969,1.14,0.57
200,16000,1000,4,0.1103,0.0691,1.6,0.4
200,20000,1000,5,0.1103,0.0635,1.74,0.348
200,24000,1000,6,0.1103,0.059,1.87,0.3117
200,12000,1000,2,0.1103,0.1433,0.77,0.385
200,24000,1000,4,0.1103,0.1013,1.09,0.2725
200,30000,1000,5,0.1103,0.0919,1.2,0.24
200,36000,1000,6,0.1103,0.0842,1.31,0.2183
200,4000,1000,2,0.1103,0.0488,2.26,1.13
200,8000,1000,4,0.1103,0.0352,3.13,0.7825
200,10000,1000,5,0.1103,0.0316,3.49,0.698
200,12000,1000,6,0.1103,0.0294,3.75,0.625
200,8000,1000,2,0.1103,0.0969,1.14,0.57
200,16000,1000,4,0.1103,0.0691,1.6,0.4
200,20000,1000,5,0.1103,0.0635,1.74,0.348
200,24000,1000,6,0.1103,0.059,1.87,0.3117
200,12000,1000,2,0.1103,0.1433,0.77,0.385
200,24000,1000,4,0.1103,0.1013,1.09,0.2725
200,30000,1000,5,0.1103,0.0919,1.2,0.24
200,36000,1000,6,0.1103,0.0842,1.31,0.2183
200,4000,1000,2,0.1103,0.0488,2.26,1.13
200,8000,1000,4,0.1103,0.0352,3.13,0.7825
200,10000,1000,5,0.1103,0.0316,3.49,0.698
200,12000,1000,6,0.1103,0.0294,3.75,0.625
200,8000,1000,2,0.1103,0.0969,1.14,0.57
200,16000,1000,4,0.1103,0.0691,1.6,0.4
200,20000,1000,5,0.1103,0.0635,1.74,0.348
200,24000,1000,6,0.1103,0.059,1.87,0.3117
200,12000,1000,2,0.1103,0.1433,0.77,0.385
200,24000,1000,4,0.1103,0.1013,1.09,0.2725
200,30000,1000,5,0.1103,0.0919,1.2,0.24
200,36000,1000,6,0.1103,0.0842,1.31,0.2183
200,4000,1000,2,0.161,0.0488,3.3,1.65
200,8000,1000,4,0.161,0.0352,4.57,1.1425
200,10000,1000,5,0.161,0.0316,5.09,1.018
200,12000,1000,6,0.161,0.0294,5.48,0.9133
200,8000,1000,2,0.161,0.0969,1.66,0.83
200,16000,1000,4,0.161,0.0691,2.33,0.5825
200,20000,1000,5,0.161,0.0635,2.54,0.508
200,24000,1000,6,0.161,0.059,2.73,0.455
200,12000,1000,2,0.161,0.1433,1.12,0.56
200,24000,1000,4,0.161,0.1013,1.59,0.3975
200,30000,1000,5,0.161,0.0919,1.75,0.35
200,36000,1000,6,0.161,0.0842,1.91,0.3183
200,4000,1000,2,0.161,0.0488,3.3,1.65
200,8000,1000,4,0.161,0.0352,4.57,1.1425
200,10000,1000,5,0.161,0.0316,5.09,1.018
200,12000,1000,6,0.161,0.0294,5.48,0.9133
200,8000,1000,2,0.161,0.0969,1.66,0.83
200,16000,1000,4,0.161,0.0691,2.33,0.5825
200,20000,1000,5,0.161,0.0635,2.54,0.508
200,24000,1000,6,0.161,0.059,2.73,0.455
200,12000,1000,2,0.161,0.1433,1.12,0.56
200,24000,1000,4,0.161,0.1013,1.59,0.3975
200,30000,1000,5,0.161,0.0919,1.75,0.35
200,36000,1000,6,0.161,0.0842,1.91,0.3183
200,4000,1000,2,0.161,0.0488,3.3,1.65
200,8000,1000,4,0.161,0.0352,4.57,1.1425
200,10000,1000,5,0.161,0.0316,5.09,1.018
200,12000,1000,6,0.161,0.0294,5.48,0.9133
200,8000,1000,2,0.161,0.0969,1.66,0.83
200,16000,1000,4,0.161,0.0691,2.33,0.5825
200,20000,1000,5,0.161,0.0635,2.54,0.508
200,24000,1000,6,0.161,0.059,2.73,0.455
200,12000,1000,2,0.161,0.1433,1.12,0.56
200,24000,1000,4,0.161,0.1013,1.59,0.3975
200,30000,1000,5,0.161,0.0919,1.75,0.35
200,36000,1000,6,0.161,0.0842,1.91,0.3183
200,4000,1000,2,0.161,0.0488,3.3,1.65
200,8000,1000,4,0.161,0.0352,4.57,1.1425
200,10000,1000,5,0.161,0.0316,5.09,1.018
200,12000,1000,6,0.161,0.0294,5.48,0.9133
200,8000,1000,2,0.161,0.0969,1.66,0.83
200,16000,1000,4,0.161,0.0691,2.33,0.5825
200,20000,1000,5,0.161,0.0635,2.54,0.508
200,24000,1000,6,0.161,0.059,2.73,0.455
200,12000,1000,2,0.161,0.1433,1.12,0.56
200,24000,1000,4,0.161,0.1013,1.59,0.3975
200,30000,1000,5,0.161,0.0919,1.75,0.35
200,36000,1000,6,0.161,0.0842,1.91,0.3183
200,4000,10000,2,0.3456,0.3216,1.07,0.535
200,8000,10000,4,0.3456,0.2411,1.43,0.3575
200,10000,10000,5,0.3456,0.2132,1.62,0.324
200,12000,10000,6,0.3456,0.2049,1.69,0.2817
200,8000,10000,2,0.3456,0.4119,0.84,0.42
200,16000,10000,4,0.3456,0.3353,1.03,0.2575
200,20000,10000,5,0.3456,0.2985,1.16,0.232
200,24000,10000,6,0.3456,0.2913,1.19,0.1983
200,12000,10000,2,0.3456,0.4361,0.79,0.395
200,24000,10000,4,0.3456,0.3537,0.98,0.245
200,30000,10000,5,0.3456,0.3368,1.03,0.206
200,36000,10000,6,0.3456,0.3269,1.06,0.1767
200,4000,10000,2,0.3456,0.3216,1.07,0.535
200,8000,10000,4,0.3456,0.2411,1.43,0.3575
200,10000,10000,5,0.3456,0.2132,1.62,0.324
200,12000,10000,6,0.3456,0.2049,1.69,0.2817
200,8000,10000,2,0.3456,0.4119,0.84,0.42
200,16000,10000,4,0.3456,0.3353,1.03,0.2575
200,20000,10000,5,0.3456,0.2985,1.16,0.232
200,24000,10000,6,0.3456,0.2913,1.19,0.1983
200,12000,10000,2,0.3456,0.4361,0.79,0.395
200,24000,10000,4,0.3456,0.3537,0.98,0.245
200,30000,10000,5,0.3456,0.3368,1.03,0.206
200,36000,10000,6,0.3456,0.3269,1.06,0.1767
200,4000,10000,2,0.3456,0.3216,1.07,0.535
200,8000,10000,4,0.3456,0.2411,1.43,0.3575
200,10000,10000,5,0.3456,0.2132,1.62,0.324
200,12000,10000,6,0.3456,0.2049,1.69,0.2817
200,8000,10000,2,0.3456,0.4119,0.84,0.42
200,16000,10000,4,0.3456,0.3353,1.03,0.2575
200,20000,10000,5,0.3456,0.2985,1.16,0.232
200,24000,10000,6,0.3456,0.2913,1.19,0.1983
200,12000,10000,2,0.3456,0.4361,0.79,0.395
200,24000,10000,4,0.3456,0.3537,0.98,0.245
200,30000,10000,5,0.3456,0.3368,1.03,0.206
200,36000,10000,6,0.3456,0.3269,1.06,0.1767
200,4000,10000,2,0.3456,0.3216,1.07,0.535
200,8000,10000,4,0.3456,0.2411,1.43,0.3575
200,10000,10000,5,0.3456,0.2132,1.62,0.324
200,12000,10000,6,0.3456,0.2049,1.69,0.2817
200,8000,10000,2,0.3456,0.4119,0.84,0.42
200,16000,10000,4,0.3456,0.3353,1.03,0.2575
200,20000,10000,5,0.3456,0.2985,1.16,0.232
200,24000,10000,6,0.3456,0.2913,1.19,0.1983
200,12000,10000,2,0.3456,0.4361,0.79,0.395
200,24000,10000,4,0.3456,0.3537,0.98,0.245
200,30000,10000,5,0.3456,0.3368,1.03,0.206
200,36000,10000,6,0.3456,0.3269,1.06,0.1767
200,4000,10000,2,0.4514,0.3216,1.4,0.7
200,8000,10000,4,0.4514,0.2411,1.87,0.4675
