type size particles iterations skipped time num_process
c 600 211 10000 40 0.072006 256
c 600 106 10000 5 0.070445 512
c 600 53 10000 271 0.079026 1024
c 600 422 10000 0 0.069022 128
c 600 211 10000 64 0.075531 256
c 600 106 10000 621 0.077615 512
c 600 53 10000 194 0.072131 1024
c 600 422 10000 10 0.068109 128
c 600 211 10000 144 0.074981 256
c 600 106 10000 21 0.073754 512
c 600 53 10000 163 0.083614 1024
c 600 422 100000 0 0.069861 128
c 600 211 100000 0 0.071167 256
c 600 106 100000 0 0.071646 512
c 600 53 100000 0 0.068726 1024
c 600 422 100000 0 0.069498 128
c 600 211 100000 0 0.074248 256
c 600 106 100000 0 0.071161 512
c 600 53 100000 0 0.069744 1024
c 600 422 100000 0 0.072055 128
c 600 211 100000 0 0.073197 256
c 600 106 100000 0 0.070404 512
c 600 53 100000 0 0.080883 1024
c 600 422 100000 0 0.068391 128
c 600 211 100000 0 0.071423 256
c 600 106 100000 0 0.074385 512
c 600 53 100000 0 0.07261 1024
